system:time_start,0,1,2,3
"Jan 1, 2016",-0.186,-0.135,-0.286,-0.053
"Jan 9, 2016",-0.254,-0.155,-0.276,-0.085
"Jan 17, 2016",-0.256,-0.165,-0.296,-0.12
"Jan 25, 2016",-0.253,-0.19,-0.297,-0.073
"Feb 2, 2016",-0.272,-0.29,-0.231,-0.043
"Feb 10, 2016",-0.258,-0.252,-0.161,-0.063
"Feb 26, 2016",-0.155,-0.204,-0.022,0.037
"Mar 5, 2016",-0.157,-0.313,0.011,-0.096
"Mar 13, 2016",-0.052,-0.275,0.056,0.043
"Mar 21, 2016",0.011,-0.16,0.114,0.041
"Mar 29, 2016",0.055,-0.021,0.082,0.033
"Apr 6, 2016",0.107,0.053,0.111,0.052
"Apr 14, 2016",0.111,0.075,0.108,0.088
"Apr 22, 2016",0.117,0.102,0.161,0.077
"Apr 30, 2016",0.095,0.072,0.128,0.061
"May 8, 2016",0.105,0.093,0.126,0.046
"May 16, 2016",0.111,0.085,0.158,0.083
"May 24, 2016",0.071,0.059,0.12,0.052
"Jun 1, 2016",0.054,0.061,0.141,0.101
"Jun 9, 2016",0.069,0.029,0.106,0.06
"Jun 17, 2016",0.031,0.024,0.06,0.04
"Jun 25, 2016",0.046,0.007,-0.042,0.013
"Jul 3, 2016",-0.008,-0.053,-0.147,-0.068
"Jul 11, 2016",-0.229,-0.072,-0.214,-0.175
"Jul 19, 2016",-0.143,-0.026,-0.154,-0.113
"Jul 27, 2016",-0.095,-0.077,-0.038,-0.068
"Aug 4, 2016",-0.042,-0.023,-0.053,0.021
"Aug 12, 2016",-0.108,-0.126,-0.052,-0.111
"Aug 20, 2016",-0.043,-0.151,0.026,-0.01
"Aug 28, 2016",-0.114,-0.158,-0.082,-0.027
"Sep 5, 2016",-0.002,-0.062,0.053,-0.002
"Sep 13, 2016",-0.031,-0.047,0.039,0.009
"Sep 21, 2016",0.028,-0.018,-0.009,-0.011
"Sep 29, 2016",0.034,-0.052,0.08,0.066
"Oct 7, 2016",0.105,0.027,0.116,0.025
"Oct 15, 2016",0.093,0.004,0.132,0.053
"Oct 23, 2016",0.083,-0.018,0.093,0.031
"Oct 31, 2016",-0.028,0.028,0.061,0.024
"Nov 8, 2016",0.02,0.038,0.033,0.024
"Nov 16, 2016",0.003,-0.005,-0.092,0.031
"Nov 24, 2016",-0.046,-0.087,-0.146,-0.008
"Dec 2, 2016",-0.111,-0.026,-0.125,-0.021
"Dec 10, 2016",-0.208,-0.042,-0.242,-0.086
"Dec 18, 2016",-0.221,-0.107,-0.298,-0.199
"Dec 26, 2016",-0.3,-0.108,-0.307,-0.05
